,user_id,timestamp,date,days_gone,user_is_gone,correct,wrong,discovered,passed,started_attempt,viewed,unique_days_on_course,course_passed
0,1,1472827464,2016-09-02,624 days,True,0.0,0.0,1,0,0,1,1,False
1,2,1519226966,2018-02-21,87 days,True,2.0,0.0,9,9,2,10,2,False
2,3,1444581588,2015-10-11,951 days,True,29.0,23.0,91,87,30,192,7,False
3,5,1499859939,2017-07-12,311 days,True,2.0,2.0,11,11,4,12,2,False
4,7,1521634660,2018-03-21,59 days,True,0.0,0.0,1,1,0,1,1,False
5,8,1481466913,2016-12-11,524 days,True,9.0,21.0,109,84,37,156,2,False
6,9,1484999497,2017-01-21,483 days,True,0.0,0.0,3,3,0,4,1,False
7,11,1526140625,2018-05-12,7 days,True,0.0,0.0,1,0,1,1,1,False
8,14,1436368676,2015-07-08,1046 days,True,0.0,1.0,4,3,1,9,1,False
9,16,1513162585,2017-12-13,157 days,True,77.0,106.0,196,196,108,651,21,True
10,17,1465765342,2016-06-12,706 days,True,0.0,2.0,6,5,1,13,1,False
11,18,1438541223,2015-08-02,1021 days,True,0.0,0.0,3,2,0,3,1,False
12,20,1443033703,2015-09-23,969 days,True,0.0,0.0,10,8,0,13,1,False
13,22,1507142631,2017-10-04,227 days,True,76.0,47.0,198,198,89,492,32,True
14,24,1524764853,2018-04-26,23 days,True,0.0,0.0,1,1,0,2,1,False
15,25,1524816605,2018-04-27,22 days,True,1.0,4.0,26,20,10,40,2,False
16,26,1476957222,2016-10-20,576 days,True,7.0,16.0,27,25,7,32,2,False
17,28,1442305755,2015-09-15,977 days,True,0.0,0.0,1,1,0,2,1,False
18,30,1510574287,2017-11-13,187 days,True,119.0,79.0,198,198,150,512,42,True
19,31,1485686263,2017-01-29,475 days,True,4.0,5.0,27,24,7,34,2,False
20,32,1524752239,2018-04-26,23 days,True,3.0,0.0,14,13,4,22,3,False
21,33,1438706621,2015-08-04,1019 days,True,0.0,0.0,4,3,1,4,1,False
22,34,1525626844,2018-05-06,13 days,True,77.0,85.0,198,195,92,1013,60,True
23,36,1515618497,2018-01-10,129 days,True,0.0,0.0,1,1,0,1,1,False
24,37,1513779501,2017-12-20,150 days,True,2.0,0.0,10,9,4,15,5,False
25,38,1436271885,2015-07-07,1047 days,True,0.0,0.0,1,0,0,1,1,False
26,39,1502712399,2017-08-14,278 days,True,77.0,29.0,198,198,88,1160,170,True
27,41,1464284275,2016-05-26,723 days,True,0.0,0.0,3,1,0,5,1,False
28,42,1449325382,2015-12-05,896 days,True,0.0,0.0,1,1,0,1,1,False
29,43,1498305920,2017-06-24,329 days,True,6.0,3.0,119,89,13,206,5,False
30,44,1502803818,2017-08-15,277 days,True,2.0,0.0,11,11,2,16,1,False
31,46,1436111741,2015-07-05,1049 days,True,28.0,8.0,65,65,28,78,4,False
32,47,1434706815,2015-06-19,1065 days,True,0.0,0.0,10,8,0,12,1,False
33,48,1483524607,2017-01-04,500 days,True,0.0,0.0,1,0,0,1,1,False
34,49,1464974754,2016-06-03,715 days,True,8.0,4.0,53,49,10,77,8,False
35,50,1502734170,2017-08-14,278 days,True,8.0,3.0,25,24,9,92,4,False
36,51,1452172181,2016-01-07,863 days,True,0.0,0.0,1,0,0,8,3,False
37,52,1436799256,2015-07-13,1041 days,True,0.0,0.0,1,0,0,3,3,False
38,53,1516013330,2018-01-15,124 days,True,0.0,0.0,12,6,7,17,1,False
39,54,1509459472,2017-10-31,200 days,True,9.0,23.0,31,30,10,90,5,False
40,56,1521819682,2018-03-23,57 days,True,0.0,0.0,1,1,0,1,1,False
41,57,1525253230,2018-05-02,17 days,True,15.0,29.0,43,41,17,87,5,False
42,59,1472731625,2016-09-01,625 days,True,0.0,0.0,1,1,0,1,1,False
43,60,1507726445,2017-10-11,220 days,True,76.0,32.0,193,193,86,276,21,True
44,63,1521029988,2018-03-14,66 days,True,8.0,3.0,23,23,11,23,1,False
45,64,1511712379,2017-11-26,174 days,True,0.0,0.0,3,3,0,3,1,False
46,65,1435291254,2015-06-26,1058 days,True,0.0,0.0,9,7,0,9,1,False
47,66,1440342929,2015-08-23,1000 days,True,76.0,39.0,193,193,113,596,23,True
48,67,1513797005,2017-12-20,150 days,True,30.0,43.0,84,79,48,241,8,False
49,68,1454251315,2016-01-31,839 days,True,2.0,2.0,7,7,4,24,3,False
50,69,1445319709,2015-10-20,942 days,True,0.0,0.0,5,4,0,5,1,False
51,70,1495960644,2017-05-28,356 days,True,7.0,54.0,24,22,8,106,7,False
52,71,1477237147,2016-10-23,573 days,True,0.0,0.0,3,3,0,3,1,False
53,73,1437469301,2015-07-21,1033 days,True,72.0,114.0,184,176,83,412,15,True
54,75,1520607766,2018-03-09,71 days,True,9.0,0.0,51,35,29,148,5,False
55,76,1506251972,2017-09-24,237 days,True,2.0,1.0,70,65,9,143,4,False
56,77,1526377591,2018-05-15,4 days,True,0.0,0.0,2,0,2,3,1,False
57,78,1525639443,2018-05-06,13 days,True,2.0,0.0,11,11,2,13,1,False
58,79,1518474372,2018-02-12,96 days,True,0.0,0.0,1,1,0,1,1,False
59,80,1489798576,2017-03-18,427 days,True,76.0,43.0,198,198,80,393,7,True
60,82,1436322965,2015-07-08,1046 days,True,0.0,0.0,1,1,0,2,1,False
61,85,1508922310,2017-10-25,206 days,True,0.0,0.0,1,0,1,1,1,False
62,86,1509486999,2017-10-31,200 days,True,0.0,0.0,1,0,1,3,1,False
63,87,1501927594,2017-08-05,287 days,True,76.0,73.0,196,196,98,426,69,True
64,88,1496315829,2017-06-01,352 days,True,0.0,0.0,3,1,0,3,1,False
65,89,1506975198,2017-10-02,229 days,True,61.0,41.0,132,131,73,221,15,False
66,91,1501277707,2017-07-28,295 days,True,13.0,16.0,33,32,14,112,4,False
67,94,1511517726,2017-11-24,176 days,True,19.0,44.0,76,63,29,237,9,False
68,95,1470351288,2016-08-04,653 days,True,5.0,4.0,20,19,8,26,1,False
69,96,1505236884,2017-09-12,249 days,True,2.0,0.0,10,10,2,14,1,False
70,97,1510873925,2017-11-16,184 days,True,2.0,3.0,9,9,5,16,1,False
71,100,1499514062,2017-07-08,315 days,True,9.0,5.0,28,28,14,42,2,False
72,101,1501858802,2017-08-04,288 days,True,2.0,0.0,6,6,2,7,2,False
73,103,1495617426,2017-05-24,360 days,True,0.0,0.0,3,3,0,4,1,False
74,104,1522746195,2018-04-03,46 days,True,15.0,3.0,42,40,21,129,8,False
75,106,1478864416,2016-11-11,554 days,True,0.0,0.0,1,0,0,2,1,False
76,108,1458250411,2016-03-17,793 days,True,2.0,5.0,13,12,3,20,2,False
77,110,1508101758,2017-10-15,216 days,True,0.0,0.0,1,1,0,1,1,False
78,111,1500369494,2017-07-18,305 days,True,65.0,106.0,157,153,80,403,20,False
79,114,1438133563,2015-07-29,1025 days,True,0.0,0.0,1,1,0,3,3,False
80,115,1521667318,2018-03-21,59 days,True,18.0,97.0,58,50,28,122,8,False
81,116,1510873865,2017-11-16,184 days,True,0.0,0.0,2,2,0,2,1,False
82,117,1506334995,2017-09-25,236 days,True,0.0,0.0,1,0,1,1,1,False
83,118,1516040675,2018-01-15,124 days,True,7.0,1.0,21,21,9,25,3,False
84,120,1517750751,2018-02-04,104 days,True,2.0,0.0,10,10,2,10,1,False
85,121,1515879284,2018-01-13,126 days,True,4.0,0.0,14,12,5,67,2,False
86,123,1463225842,2016-05-14,735 days,True,0.0,0.0,15,11,0,23,5,False
87,125,1475873626,2016-10-07,589 days,True,0.0,0.0,4,4,0,5,1,False
88,126,1441306071,2015-09-03,989 days,True,0.0,0.0,1,1,0,2,1,False
89,127,1443463230,2015-09-28,964 days,True,8.0,7.0,32,28,10,57,3,False
90,128,1476349922,2016-10-13,583 days,True,0.0,0.0,1,1,0,1,1,False
91,129,1436279722,2015-07-07,1047 days,True,13.0,7.0,43,38,15,120,22,False
92,130,1435775938,2015-07-01,1053 days,True,2.0,0.0,11,11,2,17,4,False
93,131,1435771170,2015-07-01,1053 days,True,0.0,0.0,6,2,0,10,3,False
94,132,1497518679,2017-06-15,338 days,True,0.0,0.0,3,3,0,4,1,False
95,133,1441025254,2015-08-31,992 days,True,6.0,24.0,25,23,11,40,1,False
96,134,1489403903,2017-03-13,432 days,True,0.0,0.0,18,17,0,20,2,False
97,135,1470244739,2016-08-03,654 days,True,0.0,0.0,2,2,0,3,1,False
98,137,1434807899,2015-06-20,1064 days,True,0.0,0.0,1,0,0,1,1,False
99,138,1482566549,2016-12-24,511 days,True,32.0,17.0,78,78,33,128,13,False
100,139,1487412210,2017-02-18,455 days,True,0.0,0.0,2,2,0,2,1,False
101,142,1524171743,2018-04-19,30 days,True,0.0,0.0,3,2,1,6,2,False
102,144,1504275219,2017-09-01,260 days,True,2.0,0.0,12,12,2,12,1,False
103,145,1464540227,2016-05-29,720 days,True,19.0,30.0,142,129,20,212,8,False
104,146,1523085433,2018-04-07,42 days,True,0.0,0.0,1,1,0,1,1,False
105,147,1495981426,2017-05-28,356 days,True,0.0,0.0,45,32,4,108,7,False
106,148,1503575615,2017-08-24,268 days,True,15.0,4.0,42,41,17,96,12,False
107,149,1524591350,2018-04-24,25 days,True,77.0,23.0,198,198,83,382,16,True
108,151,1523983777,2018-04-17,32 days,True,0.0,0.0,1,1,0,5,2,False
109,152,1521650490,2018-03-21,59 days,True,2.0,2.0,11,11,4,12,1,False
110,154,1446315679,2015-10-31,931 days,True,0.0,0.0,5,5,0,6,1,False
111,156,1524577767,2018-04-24,25 days,True,2.0,0.0,10,10,2,11,2,False
112,157,1518013305,2018-02-07,101 days,True,45.0,94.0,132,117,68,915,37,False
113,158,1466166317,2016-06-17,701 days,True,0.0,0.0,9,9,0,9,3,False
114,160,1468572778,2016-07-15,673 days,True,0.0,0.0,2,1,0,2,1,False
115,161,1525504580,2018-05-05,14 days,True,2.0,0.0,12,12,2,17,5,False
116,163,1461895692,2016-04-29,750 days,True,0.0,0.0,1,1,0,1,1,False
117,166,1504012530,2017-08-29,263 days,True,81.0,116.0,193,193,94,665,29,True
118,168,1526761797,2018-05-19,0 days,False,11.0,3.0,28,28,11,31,2,False
119,169,1512334999,2017-12-03,167 days,True,28.0,11.0,72,70,35,169,7,False
120,170,1436742582,2015-07-12,1042 days,True,0.0,0.0,1,0,0,1,1,False
121,171,1480604319,2016-12-01,534 days,True,1.0,9.0,11,9,7,16,4,False
122,172,1457744134,2016-03-12,798 days,True,0.0,0.0,4,3,0,4,1,False
123,173,1477417689,2016-10-25,571 days,True,0.0,0.0,3,1,0,3,1,False
124,175,1487706220,2017-02-21,452 days,True,3.0,0.0,13,12,15,35,2,False
125,176,1492280094,2017-04-15,399 days,True,2.0,0.0,8,8,2,8,1,False
126,178,1512080340,2017-11-30,170 days,True,76.0,21.0,187,187,80,333,15,True
127,179,1508689907,2017-10-22,209 days,True,1.0,0.0,2,2,1,2,1,False
128,181,1509723220,2017-11-03,197 days,True,0.0,0.0,1,0,1,1,1,False
129,182,1476868650,2016-10-19,577 days,True,0.0,0.0,1,1,0,2,1,False
130,183,1497833151,2017-06-19,334 days,True,27.0,23.0,61,61,32,136,3,False
131,184,1514452826,2017-12-28,142 days,True,2.0,0.0,13,12,3,13,1,False
132,187,1483385795,2017-01-02,502 days,True,2.0,1.0,17,14,3,29,2,False
133,188,1444220369,2015-10-07,955 days,True,0.0,0.0,9,9,0,13,3,False
134,189,1510774947,2017-11-15,185 days,True,0.0,0.0,1,1,0,1,1,False
135,190,1437904815,2015-07-26,1028 days,True,0.0,0.0,1,1,0,1,1,False
136,191,1484852919,2017-01-19,485 days,True,0.0,0.0,7,5,2,9,1,False
137,192,1473253383,2016-09-07,619 days,True,3.0,0.0,6,8,3,6,1,False
138,193,1526725731,2018-05-19,0 days,False,51.0,75.0,133,131,70,254,12,False
139,194,1463681586,2016-05-19,730 days,True,0.0,0.0,2,2,0,2,1,False
140,196,1502817349,2017-08-15,277 days,True,8.0,14.0,24,23,9,35,4,False
141,197,1520342510,2018-03-06,74 days,True,9.0,27.0,31,30,11,62,2,False
142,199,1509099731,2017-10-27,204 days,True,0.0,0.0,1,0,1,1,1,False
143,201,1440693819,2015-08-27,996 days,True,0.0,0.0,1,1,0,1,1,False
144,202,1515354631,2018-01-07,132 days,True,78.0,103.0,198,197,98,368,5,True
145,203,1443875865,2015-10-03,959 days,True,0.0,0.0,1,0,0,1,1,False
146,209,1443100049,2015-09-24,968 days,True,0.0,0.0,1,1,0,1,1,False
147,210,1443513865,2015-09-29,963 days,True,0.0,0.0,1,0,0,1,1,False
148,211,1518710080,2018-02-15,93 days,True,0.0,0.0,2,0,1,2,1,False
149,214,1514405491,2017-12-27,143 days,True,84.0,59.0,198,198,93,701,41,True
150,215,1486810827,2017-02-11,462 days,True,15.0,6.0,40,39,15,46,4,False
151,216,1521489332,2018-03-19,61 days,True,0.0,0.0,1,1,0,1,1,False
152,219,1435608339,2015-06-29,1055 days,True,2.0,0.0,13,12,2,27,3,False
153,220,1521238099,2018-03-16,64 days,True,36.0,26.0,97,97,39,490,21,False
154,221,1522316850,2018-03-29,51 days,True,0.0,0.0,1,0,1,1,1,False
155,222,1522821793,2018-04-04,45 days,True,0.0,0.0,1,1,0,1,1,False
156,223,1447866784,2015-11-18,913 days,True,2.0,0.0,10,10,2,10,1,False
157,224,1497728157,2017-06-17,336 days,True,0.0,0.0,3,3,0,5,1,False
158,225,1499884425,2017-07-12,311 days,True,3.0,0.0,16,15,3,33,5,False
159,226,1437474288,2015-07-21,1033 days,True,75.0,91.0,167,167,89,393,9,False
160,227,1480749515,2016-12-03,532 days,True,77.0,56.0,196,196,86,364,23,True
161,228,1517926817,2018-02-06,102 days,True,0.0,0.0,3,3,0,3,1,False
162,229,1521493420,2018-03-19,61 days,True,17.0,11.0,74,66,28,120,8,False
163,230,1483822937,2017-01-07,497 days,True,65.0,62.0,196,185,102,508,13,True
164,231,1436630620,2015-07-11,1043 days,True,35.0,18.0,91,90,36,97,4,False
165,232,1511368234,2017-11-22,178 days,True,3.0,2.0,18,17,5,46,3,False
166,233,1436103761,2015-07-05,1049 days,True,0.0,0.0,1,1,0,1,1,False
167,238,1476686806,2016-10-17,579 days,True,0.0,0.0,1,0,0,1,1,False
168,239,1444298305,2015-10-08,954 days,True,6.0,0.0,19,19,6,27,3,False
169,240,1436297061,2015-07-07,1047 days,True,5.0,6.0,22,20,5,35,4,False
170,243,1436826227,2015-07-13,1041 days,True,8.0,4.0,25,24,8,66,4,False
171,244,1461749129,2016-04-27,752 days,True,0.0,0.0,1,1,0,2,2,False
172,245,1461089424,2016-04-19,760 days,True,0.0,0.0,2,2,0,2,1,False
173,246,1523253250,2018-04-09,40 days,True,49.0,53.0,106,105,62,425,37,False
174,247,1513508177,2017-12-17,153 days,True,0.0,0.0,44,37,7,62,2,False
175,249,1496476063,2017-06-03,350 days,True,0.0,0.0,13,7,1,14,2,False
176,250,1434967103,2015-06-22,1062 days,True,12.0,33.0,34,34,13,64,4,False
177,251,1496835186,2017-06-07,346 days,True,37.0,18.0,93,93,39,131,3,False
178,252,1506534944,2017-09-27,234 days,True,0.0,0.0,1,1,0,1,1,False
179,254,1436739186,2015-07-12,1042 days,True,0.0,0.0,1,1,0,1,1,False
180,255,1472670815,2016-08-31,626 days,True,2.0,0.0,15,15,2,18,2,False
181,256,1474476852,2016-09-21,605 days,True,0.0,0.0,1,0,0,1,1,False
182,257,1502969912,2017-08-17,275 days,True,0.0,0.0,1,0,1,1,1,False
183,258,1504548847,2017-09-04,257 days,True,1.0,0.0,4,4,1,4,1,False
184,259,1467701220,2016-07-05,683 days,True,1.0,0.0,7,6,1,13,1,False
185,262,1450549320,2015-12-19,882 days,True,0.0,0.0,1,1,0,1,1,False
186,263,1494779392,2017-05-14,370 days,True,19.0,5.0,54,53,19,64,4,False
187,264,1526536286,2018-05-17,2 days,True,3.0,5.0,22,18,11,50,4,False
188,265,1512475532,2017-12-05,165 days,True,0.0,0.0,1,1,0,1,1,False
189,266,1435685954,2015-06-30,1054 days,True,0.0,0.0,3,2,0,4,1,False
190,267,1442923762,2015-09-22,970 days,True,0.0,0.0,1,1,0,1,1,False
191,268,1464810303,2016-06-01,717 days,True,0.0,0.0,3,1,2,3,1,False
192,270,1508944365,2017-10-25,206 days,True,0.0,0.0,3,3,0,3,1,False
193,272,1520417087,2018-03-07,73 days,True,0.0,0.0,7,6,1,8,4,False
194,274,1517425250,2018-01-31,108 days,True,0.0,0.0,1,1,0,1,1,False
195,275,1512470068,2017-12-05,165 days,True,77.0,170.0,198,198,145,582,31,True
196,277,1436083708,2015-07-05,1049 days,True,2.0,0.0,8,8,2,19,1,False
197,278,1499612587,2017-07-09,314 days,True,0.0,0.0,1,1,0,2,2,False
198,279,1472565867,2016-08-30,627 days,True,67.0,114.0,160,152,106,416,21,False
199,280,1500018519,2017-07-14,309 days,True,0.0,0.0,1,0,1,1,1,False
200,281,1468669685,2016-07-16,672 days,True,0.0,0.0,118,108,0,206,1,False
201,282,1435572454,2015-06-29,1055 days,True,2.0,0.0,10,10,2,22,2,False
202,284,1513713295,2017-12-19,151 days,True,73.0,37.0,193,190,91,387,36,True
203,285,1461694994,2016-04-26,753 days,True,0.0,0.0,1,0,0,1,1,False
204,286,1505920224,2017-09-20,241 days,True,0.0,0.0,9,6,3,9,1,False
205,287,1525095933,2018-04-30,19 days,True,3.0,6.0,34,23,19,39,2,False
206,290,1494234735,2017-05-08,376 days,True,2.0,0.0,16,16,2,44,4,False
207,291,1518980131,2018-02-18,90 days,True,0.0,0.0,18,15,3,28,2,False
208,293,1526236915,2018-05-13,6 days,True,0.0,0.0,1,1,0,1,1,False
209,294,1448389278,2015-11-24,907 days,True,30.0,10.0,74,73,31,119,11,False
210,295,1526062208,2018-05-11,8 days,True,19.0,18.0,53,53,19,140,14,False
211,296,1494950593,2017-05-16,368 days,True,76.0,27.0,198,198,84,254,14,True
212,297,1518689918,2018-02-15,93 days,True,3.0,1.0,19,16,9,29,3,False
213,299,1514461417,2017-12-28,142 days,True,17.0,20.0,42,41,21,84,3,False
214,300,1436772671,2015-07-13,1041 days,True,0.0,0.0,1,0,0,1,1,False
215,301,1525439160,2018-05-04,15 days,True,54.0,292.0,146,139,85,735,44,False
216,302,1494870960,2017-05-15,369 days,True,2.0,0.0,22,20,2,44,5,False
217,305,1512626986,2017-12-07,163 days,True,0.0,0.0,1,1,0,2,1,False
218,307,1435963050,2015-07-03,1051 days,True,1.0,0.0,4,4,1,4,1,False
219,309,1506314646,2017-09-25,236 days,True,0.0,0.0,2,1,1,29,14,False
220,310,1473004313,2016-09-04,622 days,True,0.0,0.0,1,1,0,1,1,False
221,311,1524431866,2018-04-22,27 days,True,7.0,10.0,32,31,12,119,7,False
222,312,1477292072,2016-10-24,572 days,True,0.0,0.0,1,0,0,1,1,False
223,313,1518898832,2018-02-17,91 days,True,7.0,2.0,18,18,9,34,6,False
224,314,1436436965,2015-07-09,1045 days,True,0.0,0.0,7,6,0,11,1,False
225,315,1495618118,2017-05-24,360 days,True,0.0,0.0,1,1,0,1,1,False
226,316,1522007592,2018-03-25,55 days,True,13.0,10.0,39,38,15,59,5,False
227,321,1512393537,2017-12-04,166 days,True,77.0,74.0,191,191,89,454,26,True
228,322,1459183818,2016-03-28,782 days,True,4.0,9.0,17,15,6,37,1,False
229,323,1490870998,2017-03-30,415 days,True,6.0,36.0,24,21,15,52,2,False
230,325,1512923166,2017-12-10,160 days,True,0.0,0.0,1,0,1,1,1,False
231,326,1454927311,2016-02-08,831 days,True,0.0,0.0,9,7,0,11,1,False
232,330,1457935548,2016-03-14,796 days,True,1.0,0.0,7,8,2,7,2,False
233,332,1502294211,2017-08-09,283 days,True,9.0,1.0,30,29,11,76,7,False
234,333,1440142009,2015-08-21,1002 days,True,0.0,0.0,1,1,0,1,1,False
235,334,1481630875,2016-12-13,522 days,True,7.0,11.0,20,20,7,36,2,False
236,336,1505726685,2017-09-18,243 days,True,32.0,22.0,77,76,41,163,5,False
237,337,1525305213,2018-05-02,17 days,True,2.0,0.0,6,6,2,6,1,False
238,338,1495099727,2017-05-18,366 days,True,0.0,0.0,126,110,1,191,3,False
239,339,1494172634,2017-05-07,377 days,True,0.0,0.0,7,6,0,7,1,False
240,340,1459949936,2016-04-06,773 days,True,2.0,1.0,10,10,3,13,3,False
241,342,1472912047,2016-09-03,623 days,True,0.0,0.0,1,0,0,1,1,False
242,343,1434536661,2015-06-17,1067 days,True,0.0,0.0,14,10,2,18,2,False
243,344,1524862048,2018-04-27,22 days,True,28.0,51.0,69,68,35,246,4,False
244,345,1452216308,2016-01-08,862 days,True,1.0,5.0,10,9,6,17,2,False
245,347,1510549116,2017-11-13,187 days,True,0.0,0.0,1,0,1,1,1,False
246,350,1435037445,2015-06-23,1061 days,True,11.0,26.0,39,38,13,54,4,False
247,352,1458503966,2016-03-20,790 days,True,0.0,0.0,1,0,0,1,1,False
248,353,1445437345,2015-10-21,941 days,True,6.0,6.0,21,21,8,37,3,False
249,354,1435414334,2015-06-27,1057 days,True,0.0,0.0,1,1,0,1,1,False
250,356,1519677256,2018-02-26,82 days,True,9.0,11.0,34,33,10,57,4,False
251,357,1435072573,2015-06-23,1061 days,True,2.0,2.0,11,11,4,12,1,False
252,358,1444420037,2015-10-09,953 days,True,0.0,0.0,1,1,0,1,1,False
253,359,1474361336,2016-09-20,606 days,True,0.0,0.0,2,2,0,2,1,False
254,360,1516776552,2018-01-24,115 days,True,0.0,0.0,1,0,1,1,1,False
255,361,1513680158,2017-12-19,151 days,True,15.0,31.0,39,38,16,131,20,False
256,362,1499272519,2017-07-05,318 days,True,0.0,0.0,1,1,0,1,1,False
257,364,1526767723,2018-05-19,0 days,False,10.0,21.0,35,34,11,101,4,False
258,365,1490705267,2017-03-28,417 days,True,0.0,0.0,27,18,0,29,1,False
259,368,1436208461,2015-07-06,1048 days,True,2.0,0.0,10,9,2,18,1,False
260,369,1497276025,2017-06-12,341 days,True,69.0,149.0,198,191,101,420,18,True
261,370,1475340828,2016-10-01,595 days,True,0.0,0.0,3,1,0,6,2,False
262,371,1501677251,2017-08-02,290 days,True,0.0,0.0,1,1,0,1,1,False
263,372,1469336303,2016-07-24,664 days,True,0.0,0.0,1,1,0,1,1,False
264,374,1455271939,2016-02-12,827 days,True,0.0,0.0,1,1,0,1,1,False
265,376,1438976981,2015-08-07,1016 days,True,0.0,0.0,1,1,0,1,1,False
266,377,1471485021,2016-08-18,639 days,True,0.0,0.0,1,0,0,1,1,False
267,378,1522296388,2018-03-29,51 days,True,0.0,0.0,1,1,0,1,1,False
268,379,1520342556,2018-03-06,74 days,True,24.0,28.0,65,65,27,173,14,False
269,380,1475505370,2016-10-03,593 days,True,0.0,0.0,1,0,0,4,2,False
270,381,1440573756,2015-08-26,997 days,True,0.0,0.0,2,2,0,2,1,False
271,383,1498451982,2017-06-26,327 days,True,78.0,129.0,198,193,116,1017,60,True
272,384,1485103859,2017-01-22,482 days,True,0.0,0.0,2,2,0,2,1,False
273,385,1523351359,2018-04-10,39 days,True,3.0,25.0,24,20,9,37,3,False
274,387,1488915275,2017-03-07,438 days,True,15.0,20.0,45,43,16,60,6,False
275,390,1476738631,2016-10-17,579 days,True,0.0,0.0,1,0,1,1,1,False
276,392,1519030223,2018-02-19,89 days,True,0.0,0.0,1,1,0,1,1,False
277,393,1459453482,2016-03-31,779 days,True,0.0,0.0,1,1,0,1,1,False
278,394,1442698036,2015-09-19,973 days,True,2.0,1.0,11,10,3,14,1,False
279,395,1436434400,2015-07-09,1045 days,True,76.0,40.0,193,193,104,291,13,True
280,396,1446534961,2015-11-03,928 days,True,0.0,0.0,1,1,0,1,1,False
281,397,1518887314,2018-02-17,91 days,True,2.0,0.0,13,12,3,20,4,False
282,398,1518337725,2018-02-11,97 days,True,0.0,0.0,5,4,1,12,2,False
283,399,1519820323,2018-02-28,80 days,True,75.0,140.0,197,187,124,476,23,True
284,401,1510873066,2017-11-16,184 days,True,0.0,0.0,1,1,0,1,1,False
285,402,1475348637,2016-10-01,595 days,True,0.0,0.0,1,1,0,2,1,False
286,403,1458644739,2016-03-22,788 days,True,0.0,0.0,1,1,0,1,1,False
287,404,1436348575,2015-07-08,1046 days,True,0.0,1.0,46,35,1,48,2,False
288,405,1442771330,2015-09-20,972 days,True,0.0,0.0,1,1,0,1,1,False
289,407,1480522235,2016-11-30,535 days,True,52.0,168.0,134,128,100,497,12,False
290,408,1486974278,2017-02-13,460 days,True,0.0,0.0,1,1,0,1,1,False
291,410,1467723741,2016-07-05,683 days,True,2.0,2.0,67,50,8,329,5,False
292,412,1523573813,2018-04-12,37 days,True,2.0,0.0,13,12,3,20,6,False
293,413,1500544728,2017-07-20,303 days,True,8.0,3.0,27,27,8,59,9,False
294,415,1472125843,2016-08-25,632 days,True,0.0,0.0,1,1,0,1,1,False
295,416,1469709312,2016-07-28,660 days,True,0.0,0.0,1,1,0,1,1,False
296,420,1489091692,2017-03-09,436 days,True,10.0,7.0,35,32,12,64,3,False
297,422,1454403470,2016-02-02,837 days,True,73.0,127.0,188,186,92,565,20,True
298,426,1458326602,2016-03-18,792 days,True,0.0,0.0,1,0,0,1,1,False
299,427,1481304391,2016-12-09,526 days,True,7.0,1.0,22,22,7,22,1,False
300,428,1521736242,2018-03-22,58 days,True,3.0,12.0,109,93,30,138,5,False
301,429,1523453672,2018-04-11,38 days,True,0.0,0.0,1,1,0,1,1,False
302,431,1464297304,2016-05-26,723 days,True,0.0,0.0,1,1,0,1,1,False
303,432,1445450562,2015-10-21,941 days,True,2.0,0.0,10,10,2,11,2,False
304,433,1461084033,2016-04-19,760 days,True,1.0,1.0,4,4,1,5,1,False
305,434,1448670378,2015-11-28,903 days,True,8.0,26.0,30,28,9,47,7,False
306,435,1509112169,2017-10-27,204 days,True,8.0,21.0,27,27,8,58,11,False
307,436,1473406667,2016-09-09,617 days,True,0.0,0.0,2,2,0,3,2,False
308,437,1507123262,2017-10-04,227 days,True,76.0,67.0,198,197,90,410,15,True
309,438,1455129900,2016-02-10,829 days,True,7.0,19.0,23,22,8,36,4,False
310,439,1440176310,2015-08-21,1002 days,True,8.0,24.0,29,28,13,118,6,False
311,440,1471194894,2016-08-14,643 days,True,4.0,0.0,23,21,4,36,2,False
312,442,1487714726,2017-02-21,452 days,True,25.0,134.0,91,81,74,348,45,False
313,443,1508239037,2017-10-17,214 days,True,71.0,17.0,184,182,78,674,37,True
314,444,1475873512,2016-10-07,589 days,True,1.0,0.0,21,20,2,28,2,False
315,445,1435518528,2015-06-28,1056 days,True,15.0,15.0,40,39,17,76,6,False
316,446,1471529823,2016-08-18,639 days,True,35.0,61.0,82,81,43,246,15,False
317,447,1466487453,2016-06-21,697 days,True,0.0,0.0,3,2,0,3,1,False
318,449,1446501313,2015-11-02,929 days,True,0.0,0.0,4,3,0,4,1,False
319,450,1507158986,2017-10-04,227 days,True,3.0,0.0,12,12,3,15,5,False
320,451,1518162502,2018-02-09,99 days,True,0.0,0.0,1,1,0,1,1,False
321,452,1437414309,2015-07-20,1034 days,True,0.0,0.0,1,1,0,1,1,False
322,453,1509565443,2017-11-01,199 days,True,75.0,19.0,193,193,82,359,9,True
323,454,1465897584,2016-06-14,704 days,True,0.0,0.0,10,9,0,13,1,False
324,455,1472162176,2016-08-25,632 days,True,0.0,0.0,3,2,0,5,1,False
325,456,1436205607,2015-07-06,1048 days,True,0.0,0.0,1,1,0,1,1,False
326,457,1437250177,2015-07-18,1036 days,True,0.0,0.0,1,0,0,1,1,False
327,458,1509558449,2017-11-01,199 days,True,0.0,0.0,23,23,0,27,3,False
328,459,1524325734,2018-04-21,28 days,True,0.0,0.0,8,8,0,11,2,False
329,461,1526630610,2018-05-18,1 days,True,42.0,19.0,114,112,55,209,15,False
